orgId,activityId,orgName,activityName,address,mainCate,subCate,peoples,teachers,signup,startDate,endDate,hasFoodActivity,weekTime,join,W1,W2,W3,W4,W5,W6,W7,address_plain,geo_plain,geotown_plain
174,49225,臺北市北投區硫磺谷社區發展協會,自癒力體適能運動,臺北市北投區稻香路81號(稻香區民活動中心6樓第一教室),課程,運動,40,周艷霞,N,2025-01-07,2025-12-30,N,"[{'days': ['2'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(', 'url': 'https://esp.gov.taipei/openData/orgInfo/4831', 'tel': '0910412056', 'foodType': '葷、蛋奶素、全素', 'geo': [121.48936559992, 25.140991399607], 'geotown': '北投區', 'geovillage': '文化里稻香里'}]",,yes,,,,,,臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(,"[121.48936559992, 25.140991399607]",北投區
174,51085,臺北市北投區硫磺谷社區發展協會,廣場舞運動教學,臺北市北投區稻香路81號6樓第一教室,課程,運動,30,余素花,N,2025-01-06,2025-12-29,N,"[{'days': ['1'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(', 'url': 'https://esp.gov.taipei/openData/orgInfo/4831', 'tel': '0910412056', 'foodType': '葷、蛋奶素、全素', 'geo': [121.48936559992, 25.140991399607], 'geotown': '北投區', 'geovillage': '文化里稻香里'}]",yes,,,,,,,臺北市北投區文化里稻香里稻香路81號6樓(稻香區民活動中心)及文化三路48號1樓(,"[121.48936559992, 25.140991399607]",北投區
1060,51699,臺北市北投區新稻香社區發展協會,大腦健康操,台北市北投區稻香路81號6樓之2活動中心大會場,課程,運動,20,酈佩珍佩珍,Y,2025-03-04,2025-12-30,N,"[{'days': ['2'], 'startTime': '09:00', 'endTime': '11:00'}]","[{'address': '臺北市北投區稻香里稻香路81號6樓(稻香區民活動中心-大會場)', 'url': 'https://esp.gov.taipei/openData/orgInfo/5254', 'tel': None, 'foodType': '', 'geo': [121.489291361755, 25.140913760253], 'geotown': '北投區', 'geovillage': '稻香里'}]",,yes,,,,,,臺北市北投區稻香里稻香路81號6樓(稻香區民活動中心-大會場),"[121.489291361755, 25.140913760253]",北投區
503,50833,臺北市北投區新石牌社區發展協會,五行操10/14~11/25,台北市北投區自強街120巷15弄8號,課程,運動,10,楊瑞娥,N,,,N,"[{'days': ['2'], 'startTime': '08:00', 'endTime': '11:00'}]","[{'address': '臺北市北投區石牌里自強街120巷15弄8號', 'url': 'https://esp.gov.taipei/openData/orgInfo/4847', 'tel': '02-28236699', 'foodType': '葷', 'geo': [121.516293159831, 25.1103441035087], 'geotown': '北投區', 'geovillage': '石牌里'}]",,yes,,,,,,臺北市北投區石牌里自強街120巷15弄8號,"[121.516293159831, 25.1103441035087]",北投區
77,49530,臺北市北投區振華社區發展協會,太極養生,臺北市北投區裕民ㄧ路40巷37號1樓,課程,運動,20,杜王雪雲,N,2025-01-08,2025-12-24,N,"[{'days': ['3'], 'startTime': '06:00', 'endTime': '09:00'}]","[{'address': '臺北市北投區振華里裕民一路40巷37號1樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4966', 'tel': '02-28236110', 'foodType': '葷', 'geo': [121.51775494842, 25.1152040001962], 'geotown': '北投區', 'geovillage': '振華里'}]",,,yes,,,,,臺北市北投區振華里裕民一路40巷37號1樓,"[121.51775494842, 25.1152040001962]",北投區
77,52672,臺北市北投區振華社區發展協會,預防及延緩失能2,,課程,運動,15,郭莉琳,Y,2025-04-09,2025-06-25,N,"[{'days': ['3'], 'startTime': '14:00', 'endTime': '17:00', 'center': None}]","[{'address': '臺北市北投區振華里裕民一路40巷37號1樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4966', 'tel': '02-28236110', 'foodType': '葷', 'geo': [121.51775494842, 25.1152040001962], 'geotown': '北投區', 'geovillage': '振華里'}]",,,yes,,,,,臺北市北投區振華里裕民一路40巷37號1樓,"[121.51775494842, 25.1152040001962]",北投區
853,51994,臺北市北投區建民里辦公處,預防及延緩失能方案,臺北市北投區建民里文林北路36號,課程,運動,20,林耀南,Y,2025-03-01,2025-06-05,N,"[{'days': ['4'], 'startTime': '13:00', 'endTime': '16:00'}]","[{'address': '臺北市北投區建民里文林北路36號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5195', 'tel': '02-28282580', 'foodType': '葷、蛋奶素', 'geo': [121.518804531838, 25.1047458949819], 'geotown': '北投區', 'geovillage': '建民里'}]",,,,yes,,,,臺北市北投區建民里文林北路36號,"[121.518804531838, 25.1047458949819]",北投區
853,51999,臺北市北投區建民里辦公處,樂活動一動,臺北市北投區建民里文林北路36號,課程,運動,20,gaga老師、黃宥翔,N,2025-03-01,2025-12-31,N,"[{'days': ['4'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區建民里文林北路36號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5195', 'tel': '02-28282580', 'foodType': '葷、蛋奶素', 'geo': [121.518804531838, 25.1047458949819], 'geotown': '北投區', 'geovillage': '建民里'}]",,,,yes,,,,臺北市北投區建民里文林北路36號,"[121.518804531838, 25.1047458949819]",北投區
853,52001,臺北市北投區建民里辦公處,預防及延緩失能方案,臺北市北投區建民里文林北路36號,課程,運動,20,林耀南,Y,2025-03-01,2025-06-12,N,"[{'days': ['4'], 'startTime': '13:00', 'endTime': '16:00'}]","[{'address': '臺北市北投區建民里文林北路36號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5195', 'tel': '02-28282580', 'foodType': '葷、蛋奶素', 'geo': [121.518804531838, 25.1047458949819], 'geotown': '北投區', 'geovillage': '建民里'}]",,,,yes,,,,臺北市北投區建民里文林北路36號,"[121.518804531838, 25.1047458949819]",北投區
631,49676,臺北市北投區幸福永和社區發展協會,樂齡活力動動班,台北市北投區行義路63號,課程,運動,35,何淑平,Y,2025-01-06,2025-08-11,N,"[{'days': ['1'], 'startTime': '14:00', 'endTime': '17:00'}]","[{'address': '臺北市北投區永和里行義路63號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5017', 'tel': '02-28753298', 'foodType': '葷、蛋奶素、全素', 'geo': [121.527950199651, 25.1262140274237], 'geotown': '北投區', 'geovillage': '永和里'}]",yes,,,,,,,臺北市北投區永和里行義路63號,"[121.527950199651, 25.1262140274237]",北投區
631,49697,臺北市北投區幸福永和社區發展協會,長者拍打功+活躍體適能,台北市北投區行義路63號,課程,運動,35,周淑芳,Y,2025-01-01,2025-12-31,N,"[{'days': ['5'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區永和里行義路63號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5017', 'tel': '02-28753298', 'foodType': '葷、蛋奶素、全素', 'geo': [121.527950199651, 25.1262140274237], 'geotown': '北投區', 'geovillage': '永和里'}]",,,,,yes,,,臺北市北投區永和里行義路63號,"[121.527950199651, 25.1262140274237]",北投區
631,51611,臺北市北投區幸福永和社區發展協會,預防及延緩失能,臺北市北投區永和里行義路63號,課程,運動,35,陳采婕,Y,2025-03-05,2025-08-13,N,"[{'days': ['3'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區永和里行義路63號', 'url': 'https://esp.gov.taipei/openData/orgInfo/5017', 'tel': '02-28753298', 'foodType': '葷、蛋奶素、全素', 'geo': [121.527950199651, 25.1262140274237], 'geotown': '北投區', 'geovillage': '永和里'}]",,,yes,,,,,臺北市北投區永和里行義路63號,"[121.527950199651, 25.1262140274237]",北投區
366,52451,臺北市北投區八仙里辦公處,體適能課程,,課程,運動,50,窩新運動團隊,N,2025-03-04,2025-12-31,N,"[{'days': ['2'], 'startTime': '09:00', 'endTime': '12:00', 'center': None}]","[{'address': '臺北市北投區八仙里北投路1段臨30號、北投路1段臨20號(西安橋南側室外空地)', 'url': 'https://esp.gov.taipei/openData/orgInfo/4854', 'tel': '02-28985252', 'foodType': '葷', 'geo': [121.501089499566, 25.124827401021], 'geotown': '北投區', 'geovillage': '八仙里'}]",,yes,,,,,,臺北市北投區八仙里北投路1段臨30號、北投路1段臨20號(西安橋南側室外空地),"[121.501089499566, 25.124827401021]",北投區
856,48673,社團法人台北市北投區尊賢社區發展協會,體適能,台北市北投區尊賢街302巷19號1樓,課程,運動,25,陳必嘉,N,2025-01-06,2025-12-31,N,"[{'days': ['1'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區尊賢里尊賢街302巷19號1樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5083', 'tel': '02-28270945', 'foodType': '葷、蛋奶素、全素', 'geo': [121.507703541409, 25.1181638363464], 'geotown': '北投區', 'geovillage': '尊賢里'}]",yes,,,,,,,臺北市北投區尊賢里尊賢街302巷19號1樓,"[121.507703541409, 25.1181638363464]",北投區
469,49298,台北市石牌全人關懷協會,春季-核心運動與伸展,台北市北投區明德路283號1樓,課程,運動,18,吳珮宇,Y,2025-04-08,2025-06-24,N,"[{'days': ['2'], 'startTime': '13:30', 'endTime': '16:30'}]","[{'address': '臺北市北投區榮華里明德路281號1樓、明德路283號2樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4863', 'tel': '0228262602', 'foodType': '葷', 'geo': [121.522200377618, 25.115022864458], 'geotown': '北投區', 'geovillage': '榮華里'}]",,yes,,,,,,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,"[121.522200377618, 25.115022864458]",北投區
469,49304,台北市石牌全人關懷協會,春季-體適能-肌力體雕,台北市北投區明德路283號1樓,課程,運動,18,鄭有策,Y,2025-04-10,2025-06-26,N,"[{'days': ['4'], 'startTime': '13:30', 'endTime': '16:30'}]","[{'address': '臺北市北投區榮華里明德路281號1樓、明德路283號2樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4863', 'tel': '0228262602', 'foodType': '葷', 'geo': [121.522200377618, 25.115022864458], 'geotown': '北投區', 'geovillage': '榮華里'}]",,,,yes,,,,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,"[121.522200377618, 25.115022864458]",北投區
469,49306,台北市石牌全人關懷協會,春季-健康操,台北市北投區明德路283號1樓,課程,運動,20,林春燕,Y,2025-04-11,2025-06-27,N,"[{'days': ['5'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區榮華里明德路281號1樓、明德路283號2樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4863', 'tel': '0228262602', 'foodType': '葷', 'geo': [121.522200377618, 25.115022864458], 'geotown': '北投區', 'geovillage': '榮華里'}]",,,,,yes,,,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,"[121.522200377618, 25.115022864458]",北投區
469,52814,台北市石牌全人關懷協會,春季-核心運動與伸展,,課程,運動,18,吳珮宇,Y,2025-04-08,2025-06-24,N,"[{'days': ['2'], 'startTime': '13:30', 'endTime': '16:30', 'center': None}]","[{'address': '臺北市北投區榮華里明德路281號1樓、明德路283號2樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4863', 'tel': '0228262602', 'foodType': '葷', 'geo': [121.522200377618, 25.115022864458], 'geotown': '北投區', 'geovillage': '榮華里'}]",,yes,,,,,,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,"[121.522200377618, 25.115022864458]",北投區
469,52815,台北市石牌全人關懷協會,春季-烏克麗麗初階(上),,課程,運動,25,廖國永,Y,2025-04-09,2025-06-25,N,"[{'days': ['3'], 'startTime': '09:00', 'endTime': '12:00', 'center': None}]","[{'address': '臺北市北投區榮華里明德路281號1樓、明德路283號2樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4863', 'tel': '0228262602', 'foodType': '葷', 'geo': [121.522200377618, 25.115022864458], 'geotown': '北投區', 'geovillage': '榮華里'}]",,,yes,,,,,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,"[121.522200377618, 25.115022864458]",北投區
469,52817,台北市石牌全人關懷協會,春季-體適能-肌力體雕,,課程,運動,18,鄭有策,Y,2025-04-10,2025-06-26,N,"[{'days': ['4'], 'startTime': '13:30', 'endTime': '16:30', 'center': None}]","[{'address': '臺北市北投區榮華里明德路281號1樓、明德路283號2樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4863', 'tel': '0228262602', 'foodType': '葷', 'geo': [121.522200377618, 25.115022864458], 'geotown': '北投區', 'geovillage': '榮華里'}]",,,,yes,,,,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,"[121.522200377618, 25.115022864458]",北投區
469,52818,台北市石牌全人關懷協會,春季-健康操,,課程,運動,20,林春燕,Y,2025-04-11,2025-06-27,N,"[{'days': ['5'], 'startTime': '09:00', 'endTime': '12:00', 'center': None}]","[{'address': '臺北市北投區榮華里明德路281號1樓、明德路283號2樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4863', 'tel': '0228262602', 'foodType': '葷', 'geo': [121.522200377618, 25.115022864458], 'geotown': '北投區', 'geovillage': '榮華里'}]",,,,,yes,,,臺北市北投區榮華里明德路281號1樓、明德路283號2樓,"[121.522200377618, 25.115022864458]",北投區
784,48194,台北市愛肯關懷協會,週一上午肌力訓練,台北市北投區雙全街19巷4號1樓,課程,運動,20,龐明恩、胡友芬,Y,2025-01-01,2025-12-31,N,"[{'days': ['1'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區中庸里雙全街19巷4號1樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5106', 'tel': '02-28962561', 'foodType': '葷、蛋奶素、全素', 'geo': [121.50120419712, 25.138490151391], 'geotown': '北投區', 'geovillage': '中庸里'}]",yes,,,,,,,臺北市北投區中庸里雙全街19巷4號1樓,"[121.50120419712, 25.138490151391]",北投區
175,48875,台北市北投區福興社區發展協會,預防及延緩失能1,臺北市北投區自強街5巷22號(福星宮),課程,運動,20,郭莉琳,N,2025-03-07,2025-05-30,N,"[{'days': ['5'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市北投區福興里自強街5巷22號', 'url': 'https://esp.gov.taipei/openData/orgInfo/4967', 'tel': '0955-404968', 'foodType': '葷', 'geo': [121.512371759051, 25.110460200167], 'geotown': '北投區', 'geovillage': '福興里'}]",,,,,yes,,,臺北市北投區福興里自強街5巷22號,"[121.512371759051, 25.110460200167]",北投區
1042,52484,財團法人臺北市現代悅齡社會福利基金會,週一上午 外丹功,,課程,運動,30,黃志賢,Y,2025-03-03,2025-12-29,N,"[{'days': ['1'], 'startTime': '08:00', 'endTime': '11:00', 'center': None}]","[{'address': '臺北市士林區福佳里華聲街17號5樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5124', 'tel': '02-28310017', 'foodType': '葷', 'geo': [121.522214380048, 25.0963559261931], 'geotown': '士林區', 'geovillage': '福佳里'}]",yes,,,,,,,臺北市士林區福佳里華聲街17號5樓,"[121.522214380048, 25.0963559261931]",士林區
1042,52485,財團法人臺北市現代悅齡社會福利基金會,週一下午 肌智班,,課程,運動,30,香蕉團隊-徐琇薇、林美玉、徐曉萍,Y,2025-03-03,2025-12-29,N,"[{'days': ['1'], 'startTime': '13:00', 'endTime': '16:00', 'center': None}]","[{'address': '臺北市士林區福佳里華聲街17號5樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5124', 'tel': '02-28310017', 'foodType': '葷', 'geo': [121.522214380048, 25.0963559261931], 'geotown': '士林區', 'geovillage': '福佳里'}]",yes,,,,,,,臺北市士林區福佳里華聲街17號5樓,"[121.522214380048, 25.0963559261931]",士林區
1042,52487,財團法人臺北市現代悅齡社會福利基金會,週二下午 塑身美體~皮拉提斯,,課程,運動,30,林儀雯,Y,2025-03-04,2025-12-30,N,"[{'days': ['2'], 'startTime': '13:00', 'endTime': '16:00', 'center': None}]","[{'address': '臺北市士林區福佳里華聲街17號5樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5124', 'tel': '02-28310017', 'foodType': '葷', 'geo': [121.522214380048, 25.0963559261931], 'geotown': '士林區', 'geovillage': '福佳里'}]",,yes,,,,,,臺北市士林區福佳里華聲街17號5樓,"[121.522214380048, 25.0963559261931]",士林區
1042,52490,財團法人臺北市現代悅齡社會福利基金會,預防及延緩失能方案,,課程,運動,25,香蕉團隊-黃晨文等人,Y,2025-03-12,2025-11-26,N,"[{'days': ['3'], 'startTime': '13:00', 'endTime': '16:00', 'center': None}]","[{'address': '臺北市士林區福佳里華聲街17號5樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5124', 'tel': '02-28310017', 'foodType': '葷', 'geo': [121.522214380048, 25.0963559261931], 'geotown': '士林區', 'geovillage': '福佳里'}]",,,yes,,,,,臺北市士林區福佳里華聲街17號5樓,"[121.522214380048, 25.0963559261931]",士林區
1042,52495,財團法人臺北市現代悅齡社會福利基金會,週五下午 肌優班,,課程,運動,30,香蕉團隊-徐曉萍、林育民、黃晨文,Y,2025-03-03,2025-12-26,N,"[{'days': ['5'], 'startTime': '13:00', 'endTime': '16:00', 'center': None}]","[{'address': '臺北市士林區福佳里華聲街17號5樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5124', 'tel': '02-28310017', 'foodType': '葷', 'geo': [121.522214380048, 25.0963559261931], 'geotown': '士林區', 'geovillage': '福佳里'}]",,,,,yes,,,臺北市士林區福佳里華聲街17號5樓,"[121.522214380048, 25.0963559261931]",士林區
1042,52498,財團法人臺北市現代悅齡社會福利基金會,週二上午 舒緩瑜珈,,課程,運動,25,廖瑞美,Y,2025-03-04,2025-12-30,N,"[{'days': ['2'], 'startTime': '09:00', 'endTime': '12:00', 'center': None}]","[{'address': '臺北市士林區福佳里華聲街17號5樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5124', 'tel': '02-28310017', 'foodType': '葷', 'geo': [121.522214380048, 25.0963559261931], 'geotown': '士林區', 'geovillage': '福佳里'}]",,yes,,,,,,臺北市士林區福佳里華聲街17號5樓,"[121.522214380048, 25.0963559261931]",士林區
1042,52501,財團法人臺北市現代悅齡社會福利基金會,週四上午 養生太極,,課程,運動,30,藍玉珍,Y,2025-03-06,2025-12-25,N,"[{'days': ['4'], 'startTime': '09:00', 'endTime': '12:00', 'center': None}]","[{'address': '臺北市士林區福佳里華聲街17號5樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/5124', 'tel': '02-28310017', 'foodType': '葷', 'geo': [121.522214380048, 25.0963559261931], 'geotown': '士林區', 'geovillage': '福佳里'}]",,,,yes,,,,臺北市士林區福佳里華聲街17號5樓,"[121.522214380048, 25.0963559261931]",士林區
267,48726,財團法人臺北市松年長春社會福利基金會(士林),體適能-快樂健康班,臺北市士林區中山北路7段122號3樓,課程,運動,25,張林鴻教練,Y,2025-01-02,2025-06-26,N,"[{'days': ['4'], 'startTime': '09:00', 'endTime': '12:00'}]","[{'address': '臺北市士林區天山里中山北路7段122號3樓', 'url': 'https://esp.gov.taipei/openData/orgInfo/4833', 'tel': '02-28723425', 'foodType': '葷、蛋奶素', 'geo': [121.53200060493, 25.122333690717], 'geotown': '士林區', 'geovillage': '天山里'}]",,,,yes,,,,臺北市士林區天山里中山北路7段122號3樓,"[121.53200060493, 25.122333690717]",士林區
